Story Heading,Story Excerpt,Section,Date,Source
93 killed as harsh weather torments country,Avalanches hit AJK; PM COAS issue orders for immediate rescue relief work.,Pakistan,15-1-2020,all
Imran wants BISP to name and shame undeserving officials,"""Their punishment is that their identities should be revealed to the public"" PM Imran says.",Pakistan,15-1-2020,all
Pak-Iran freight train service suspended as floods damage track,A Pakistan Railways official based in Dalbandin says the routine operation has been suspended since January 6.,Pakistan,15-1-2020,all
PTI minister uses army boot to ridicule PML-N PPP,"Faisal Vawda says he will carry the boot to every TV show to tell the nation this is today's ""democratic Noon League"".",Newspaper,15-1-2020,all
Opposition senators block immediate passage of seven bills,Insist bills go to standing committees first.,Pakistan,15-1-2020,all
Another polio case from KP takes last year’s tally to 136,2019 provincial data shows that 92 cases were reported from KP 25 from Sindh 11 from Balochistan and 8 from Punjab.,Pakistan,15-1-2020,all
SC suspends LHC ruling on lawyer’s detention,Justice Mushir Alam says court wants to ascertain nature of offences against accused.,Pakistan,15-1-2020,all
Thousands of litres of diesel leaks in Karachi’s DHA after pipeline burst,The burst pipeline belongs to the National Refinery Limited and runs from Keamari to Korangi.,Pakistan,16-1-2020,all
NAB approves filing fresh graft references against Nawaz Zardari Gilani,Accountability watchdog's Executive Board Meeting gives clean chit to SAPM Zulfi Bukhari.,Pakistan,16-1-2020,all
Sindh energy minister running crime ring trying to influence police: SSP Shikarpur,"PPP’s Imtiaz Ahmed Sheikh terms report as ""based on lies"".",Pakistan,17-1-2020,all
Fawad Chaudhry Farogh Naseem amongst lawmakers suspended by ECP for not submitting statement of assets,ECP has suspended the membership of 318 lawmakers part of Senate NA and provincial assemblies.,Pakistan,16-1-2020,all
Sindh govt writes to establishment division for IGP Imam's removal,List of reservations regarding the current IGP provided to the establishment division.,Pakistan,16-1-2020,all
Sandal Khattak of Tik Tok fame moves court against FIA investigation,Khattak says FIA has summoned her twice without saying what the investigation is about.,Pakistan,16-1-2020,all
Kate Middleton and Prince William make kulfi milkshakes for first 2020 royal outing,The ever so thoughtful Duchess wore Zeen earrings while they visited MyLahore a restaurant serving Pakistani grub.,Pakistan,16-1-2020,all
Maj Gen Babar Iftikhar replaces Asif Ghafoor as DG ISPR,Maj Gen Ghafoor's new assignment will be as the General Officer Commanding Okara.,Pakistan,17-1-2020,all
Hafeez Malik return to T20 squad for Bangladesh's tour to Pakistan,Contrary to speculations Sarfaraz Ahmed has not been called back for the T20I leg of the Bangladesh tour.,Sport,16-1-2020,all
Hyundai and Kia bet on London start-up for electric cars,Arrival focuses on producing electric vehicles that cost less than standard models.,Tech,16-1-2020,all
Jemima Goldsmith tells Meghan Markle she knows what it's like to marry a national hero,She added that she empathises with The Duchess of Sussex who has been bullied by the media for her ethnicity and gender,Pakistan,16-1-2020,all
UNSC meet on Kashmir reflects seriousness of regional situation says PM Imran,Kashmir has been reaffirmed as an internationally recognised dispute says Foreign Minister Qureshi after UNSC meeting.,Pakistan,16-1-2020,all
5 eating habits to adopt if you plan to have a baby soon,The right diet can greatly improve your chances of conceiving along with your overall health,Pakistan,16-1-2020,all
Saba Qamar finds her next feature film,After wrapping up Sarmad Khoosat's Kamli the Cheekh actor has signed another movie.,Pakistan,16-1-2020,all
Walled City of Lahore Authority official removed after 'mehndi' at Lahore Fort,The authority's marketing tourism and culture director has been removed for failing to monitor the event.,Pakistan,16-1-2020,all
Ayub the First,Conservative historian Niall Ferguson somehow got it right: Ayub was the ultimate ally.,Pakistan,17-1-2020,all
Meghan could face estranged father in UK court,The prospect of a high court showdown only adds to the pressure on the couple.,Newspaper,16-1-2020,all
Turkey lifts three-year ban on Wikipedia,Turkey was the only country in the world apart from China to entirely block access to the online encyclopedia.,Newspaper,16-1-2020,all
Environmentalists file suit against Merkel’s ‘weak’ climate laws,Greenpeace together with German groups BUND and Deutsche Umwe­lthilfe file the legal actions.,Newspaper,16-1-2020,all
US House votes to send Trump impeachment charges to Senate,The 100-seat Senate is expected to acquit Trump keeping him in office.,Newspaper,16-1-2020,all
S. Arabia appoints princess as Unesco representative,The announcement comes almost a year after the kingdom appointed its first woman ambassador to the United States.,Newspaper,16-1-2020,all
Pope names first woman to senior Vatican post,Francesca Di Giovanni will assume a newly-created post in a division known as the Section for Relations with States.,Newspaper,16-1-2020,all
European garment brands to end Bangladesh factory inspections,The Rana Plaza factory complex collapsed in April 2013 killing at least 1134 people and injuring another 2000.,Newspaper,16-1-2020,all
Christian hymn dropped from Indian military band,India’s national song ‘Vande Mataram’ is proposed to replace ‘Abide With Me’.,Newspaper,16-1-2020,all
First Gaza rockets land in Israel since Soleimani killing,"Prime Minister Benjamin Netanyahu last week warned Israel would strike a ""resounding blow"" if attacked by Iran.",Newspaper,16-1-2020,all
Rouhani asks military to apologise for holding back plane information,Rouhani also seeks a full explanation after it took Iran days to admit the airliner had been mistakenly shot down.,Newspaper,16-1-2020,all
Paterson set for Test debut as SA mull options,Dane Paterson 30 has previously played limited overs in internationals for South Africa.,Newspaper,16-1-2020,all
Babar ecstatic over inclusion in ICC team,In the 2019 calendar year Babar scored 1092 runs in 20 ODIs at 60.66.,Newspaper,16-1-2020,all
‘Misbah considering recalling Sarfraz Kamran for BD T20s’,The team will be announced today.,Newspaper,16-1-2020,all
Tennis stars raise millions for Australian wildfire victims,Tennis Australia says nearly $3.5 million have been raised for the victims of recent and ongoing fires.,Newspaper,16-1-2020,all
Top ICC official to visit Pakistan next week,Sawhney will arrive in Islamabad on January 22 and will head to the PCB headquarters in Lahore on Jan 23.,Newspaper,16-1-2020,all
US China sign ‘momentous’ trade deal,"""Together we are righting the wrongs of the past"" says Trump.",Newspaper,16-1-2020,all
Govt raises Rs274.7bn from T-bill auction,The prevailing high interest rate of 13.25pc has created serious problems for domestic investors.,Newspaper,16-1-2020,all
Consumers brace for higher cooking oil flour prices,Flour millers who had earlier agreed to reduce flour prices raise them by Rs5 per kg.,Newspaper,16-1-2020,all
FBR intensifies efforts to nab tax evaders,So far tax evaders have been detected in Karachi Faisalabad Lahore and Multan.,Newspaper,16-1-2020,all
Stocks shed 214 points on mutual fund sell-off,KSE-100 index closes with a loss of 214.02 points (0.50 per cent) below the 43000-level at 42993.02.,Newspaper,16-1-2020,all
Hyundai-Nishat begins truck production,This news comes at a time when automobile sales in the country are rapidly plummeting.,Newspaper,16-1-2020,all
A new federal administration,What the task force has done is to suggest the reorganisation of federal organisational entities.,Pakistan,16-1-2020,all
Vawda’s unfunny joke,What merit has Vawda brought to a ministry that oversees Pakistan's most important natural resource next to natural gas?,Pakistan,16-1-2020,all
Editorial: Perhaps it is time Vawda zipped up his embarrassing rhetoric and tied up his oversized ego,Opposition leaders have rightly heaped criticism on Vawda’s crude theatrics. The PTI leadership should do the same.,Pakistan,16-1-2020,all
KP CM launches e-ticketing payment system for drivers,IGP says system to be integrated with safe city project.,Pakistan,16-1-2020,all
Proposal for India-Afghan trade via Wagah opposed,SCCI says it will violate ATTA harm local industries.,Newspaper,16-1-2020,all
KP mulling LG vote in two phases,Official insists ECP can object to idea over higher expenditure.,Pakistan,16-1-2020,all
NA passes University of Islamabad bill,Bill moved by parliamentary secretary for education and professional training national history and literary heritage.,Pakistan,16-1-2020,all
Schoolteacher booked for beating five-year-old student in Taxila,Minor left with bruises on the face and other parts of the body.,Pakistan,16-1-2020,all
Punjab govt’s efforts to avert dengue outbreak in jeopardy,Officials say Punjab is in dire need of drugs to avert the threat of a dengue outbreak in the province.,Pakistan,16-1-2020,all
Panel notified to solicit opinion on Nawaz’s fresh reports,The PML-N has invited Punjab Health Minister Yasmin Rashid to London to verify facts about Nawaz's health herself.,Pakistan,16-1-2020,all
MQM-P move may be prompted by approaching LG election,Party feels PTI has not delivered on promises for Karachi Hyderabad.,Pakistan,16-1-2020,all
SHC asks task force to trace missing children submit report by Feb 20,Another division bench of the SHC issues notices on plea seeking to frame rules for NAB.,Pakistan,16-1-2020,all
Facebook to help Pakistan fight drive against polio efforts,We stand behind efforts to create a polio-free world and will continue to offer our support says Facebook.,Pakistan,16-1-2020,all
Govt has intensified clampdown on media says Human Rights Watch,Report says women religious minorities and transgender individuals continue to face discrimination and persecution.,Newspaper,16-1-2020,all
Relief efforts continue in Balochistan amid biting cold,PDMA officials say 150 mud houses have collapsed while 341 have been partially damaged due to rain and snowfall.,Pakistan,16-1-2020,all
Nawaz’s son assails PM for focusing on petty issues,Says doctors have advised the former prime minister to go on walks twice a day.,Newspaper,16-1-2020,all
Vexed by Sindh’s failure to draft water law SC chides elected govts,Punjab has enacted a law for the commercial use of groundwater court told.,Pakistan,16-1-2020,all
Rift in PTI’s Karachi chapter surfaces in National Assembly,Three MNAs from Karachi protest over the attitude of Maritime Affairs Minister Ali Zaidi.,Pakistan,16-1-2020,all
ANF seeks SC nod to re-arrest Rana Sanaullah,Petition argues that the LHC failed to consider that no further inquiry was required to prove the guilt of the accused.,Pakistan,16-1-2020,all
Two girls survive 18 hours under snow in AJK,Samina 12 was rescued from Bakwali village while six-year-old Safia was found alive in Seri village of Surgan area.,Pakistan,16-1-2020,all
Over 300 lawmakers fail to submit asset statements,The Election Commission of Pakistan is set to suspend the membership of the lawmakers.,Pakistan,16-1-2020,all
Centre Sindh meet today to settle gas share dispute,The gas demand and supply situation will start improving over the next week says PM's aide Nadeem Babar.,Pakistan,16-1-2020,all
Senate panel recommends pact with Twitter to block fake accounts,Committee directs officials to identify accounts involved in defaming harassing individuals and organisations.,Pakistan,16-1-2020,all
Delay in prosecution of NAB cases irks chief justice,Those against whom a reference is filed have to wait a lifetime for the case to conclude observes Justice Gulzar.,Pakistan,16-1-2020,all
Tycoon Malik Riaz booked in Rs100bn land scam,NAB alleges Bahria Town built Pakistan’s tallest building on land belonging to Karachi’s Bagh Ibne Qasim.,Newspaper,16-1-2020,all
UN Security Council reviews situation in occupied Kashmir,“The issue of India and Pakistan is always on the agenda of the Security Council” says Chinese Ambassador Zhang Jun.,Newspaper,16-1-2020,all
Avalanche kills five soldiers as cold snap toll rises to 109,PM visits AJK capital; hundreds of buildings in Gilgit-Baltistan Neelum Valley destroyed.,Pakistan,16-1-2020,all
Harried PTI moves to appease disgruntled allies,Major partners in the ruling coalition have grievances about the helplessness of their ministers in decision making.,Newspaper,16-1-2020,all
SC refuses to hear Musharraf's plea against treason verdict tells him to surrender first,Former president's counsel expected to file an appeal against the court's decision of returning the petition.,Pakistan,17-1-2020,all
Lahore journalist remanded into FIA custody over 'anti-state' Facebook posts,"Suspect's lawyer rejects allegations of sharing anti-state material; Lahore Press Club terms arrest ""unconstitutional"".",Pakistan,18-1-2020,all
Sherry Rehman fires back at PTI senator for appropriating women's oppression as 'culture',"""You cannot condemn a whole rights movement in the name of culture"" says the PPP senator.",Pakistan,17-1-2020,all
PM Imran once again suggests names for CEC post,Deadlock on the appointment has persisted between the govt and opposition since early 2019.,Pakistan,17-1-2020,all
Saviour in the snow: How one man rescued hundreds from the Balochistan blizzards,Anis Khan has been driving up and down the highway rescuing those stranded on thoroughfares and in distant villages.,Pakistan,17-1-2020,all
Filmmaker Jami sends legal response to Hameed Haroon,"Jami rejects allegations of being part of a ""larger agenda"".",Pakistan,17-1-2020,all
Pakistan economy to 'recover slightly' from 2021 but reforms critical for growth: UN report,The country’s inflation remains extremely vulnerable to fuel price fluctuations and weather conditions says UN review.,Business,17-1-2020,all
Saeed Ghani lashes out at SSP Rizwan terms police official a 'third-rate man',PPP leader demands CM Shah hold an inquiry vows to quit politics if allegations against him are proven true.,Pakistan,17-1-2020,all
Lessons to be learned from Facebook's WhatsApp deal French watchdog says,It is questionable that a dominant firm can acquire all others in its ecosystem leaving behind no rival: watchdog head.,Tech,17-1-2020,all
‘They should have thought better of messing with a poet’,Faiz Ahmed Faiz is revered and reviled in equal parts in the Indo-Pak subcontinent.,Prism,22-1-2020,all
Hafeez fired up for upcoming Bangladesh T20I tour,"""I am in a positive head-space and ready to perform well for the team"" Hafeez says upon being recalled for the T20Is.",Sport,17-1-2020,all
Malala biopic director reveals he still receives threat mails,Amjad Khan speaks about his directorial debut and how Malala and her father reacted to film Gul Makai.,Pakistan,17-1-2020,all
Rawalpindi ATC sentences TLP chief Khadim Rizvi's nephew brother to 55 years in jail,Case relates to violent protests clashes with the police over the arrest of party chief Khadim Hussain Rizvi.,Pakistan,17-1-2020,all
Living abroad? These desi food recipes will make you feel right at home,Make yourself delicious mutton korma and tahiri for some nostalgic feels.,Pakistan,17-1-2020,all
Kumail Nanjiani and Issa Rae's next is a rom-com with a murderous twist,The Lovebirds releases worldwide on April 3.,Pakistan,17-1-2020,all
Race towards breaking news has resulted in misinformation says senior journalist,Coalition for Women in Journalism holds session on fake news and the repercussions for media organisations.,Pakistan,17-1-2020,all
Should wedding functions be permitted at the Lahore Fort?,Renting out certain parts of Lahore Fort against a fee is considered an acceptable way to generate extra income.,Pakistan,17-1-2020,all
Sarmad Khoosat pens open letter to Imran Khan as people try to halt his film's release,The director revealed that Zindagi Tamasha's team was being bullied and pressurised by a mystery group.,Pakistan,17-1-2020,all
Editorial: A lawful solution to Karachi's housing needs would cut into the eye-watering profits of land mafias,At the losing end of these shenanigans is the unsuspecting public.,Pakistan,17-1-2020,all
Editorial: Pemra's foolish action,All too often Pemra wades into a controversy of its own making and then has to beat an embarrassing retreat.,Pakistan,17-1-2020,all
Consequences of yet another conflict in Middle East will be disastrous for the region,2020 could see the continuation of the challenging environment the PTI govt has had to contend with since taking office.,Pakistan,17-1-2020,all
Dhoni denied India contract amid retirement speculations,The former captain quit Test cricket in 2014 and has not played for India since last year.,Newspaper,17-1-2020,all
Stokes Pope steer England to 224-4 on first day,The four-match series is level at 1-1 and an England victory in Port Elizabeth would ensure they can’t lose the contest.,Newspaper,17-1-2020,all
Finch wary of India’s fightback in second one-dayer,The hosts suffered a crushing 10-wicket defeat on Tuesday in the opening game of the three-match showdown.,Newspaper,17-1-2020,all
Australian Open official defends playing qualifiers despite poor air quality,Says matches would have been stopped if medical staff at Melbourne Park decided it was too unhealthy to keep playing.,Newspaper,17-1-2020,all
‘Peshawar-DI Khan Expressway promises uplift of southern districts’,"""The PTI government is focusing on the development of the province"" says KP Chief Minister Mahmood Khan.",Pakistan,17-1-2020,all
Survey of rain snow damage starts in Bajaur,Residents say a number of houses have collapsed in the region and scores of cattles have been killed and wounded.,Pakistan,17-1-2020,all
Response of secretary SNGPL officials to contempt plea sought,PML-N MPA claims gas project not completed despite court order.,Pakistan,17-1-2020,all
Senators to probe anti-encroachment operation at lawmaker’s house,Rawalpindi admin claims operation was to retrieve state land; senator's family alleges it was political victimisation.,Pakistan,17-1-2020,all
Will not accept changes to seminary syllabus religious education system: Fazl,JUI-F leader says planning to launch another anti-govt protest movement.,Pakistan,17-1-2020,all
LHC CJ orders crackdown on industries creating pollution,Seeks separate reports from all deputy commissioners; adjourns the case for 10 days.,Pakistan,17-1-2020,all
Over 1500 ‘ghost’ and ‘dubious employees’ found in P&SHD,Secretary says finance wing told to stop their salaries.,Pakistan,17-1-2020,all
Secretary reprimands officials for poor service delivery in Thar,Urges officials to ensure provision of quality healthcare facilities to the people.,Pakistan,17-1-2020,all
Sindh High Court summons medical board for giving evasive report in negligence case,Strange that the board is unable to trace the cause for initially diagnosing gangrene the court observes.,Pakistan,17-1-2020,all
City Council demands release of Rs162bn announced for Karachi Package,Opposition councillors protest claim no funds have been released for their areas.,Pakistan,17-1-2020,all
Third victim of rabies reported at JPMC in Karachi this month,Patient's family takes the mother of four back home against the advice of medical professionals.,Pakistan,17-1-2020,all
Pentagon to soon resume Saudi training halted after base shooting,"""We’re looking forward to turning that (training) back on in the coming days"" says Pentagon spokesperson.",Newspaper,17-1-2020,all
Prince Harry appears in public for first time since royal split,"The event is his last scheduled royal engagement before he and Meghan begin a ""period of transition"" to their new roles.",Newspaper,17-1-2020,all
Relief as rain falls over Australian bushfires,The fires have claimed 28 lives and killed an estimated billion animals.,Newspaper,17-1-2020,all
Rouhani says ‘no limit’ to nuclear enrichment,Rouhani says the nuclear programme is in a better situation than it was before the nuclear agreement with world powers.,Newspaper,17-1-2020,all
Barty advances to semis at Adelaide Halep ousted,“I feel my game is getting better and better” says  Ashleigh Barty.,Newspaper,17-1-2020,all
Stocks manage modest gains,The index opened on a positive note and oscillated between the intraday high and low by 212 and 187 points.,Newspaper,17-1-2020,all
Malaysia bets on diplomacy to tackle India palm oil curbs,Sources say India's move prompted by Malaysian PM's recent criticism of the country.,Newspaper,17-1-2020,all
Engineering Board to spearhead electric vehicle policy,Auto industry told to respect the submission deadline for proposals so that the first draft can be finalised before Feb.,Newspaper,17-1-2020,all
Govt striving to boost industrial capacity: Asad,"“The PTI government is determined to establish four special economic zones in all provinces.""",Newspaper,17-1-2020,all
Six-month foreign direct investment jumps 68.3pc,Jump in numbers comes after a one-off payment made by telecommunication companies for licence renewal.,Newspaper,17-1-2020,all
PBC wants appeal against LHC verdict in Musharraf case,The 22-member PBC holds a meeting to express appreciation for services rendered by  body's the outgoing vice chairman.,Pakistan,17-1-2020,all
Court orders Senator Bugti’s arrest over girl’s kidnapping,Senator Bugti was on an interim bail before the arrest orders were granted by the court.,Pakistan,17-1-2020,all
As suspects seek relief under amended law NAB says no concession possible,Accused facing pending cases may not get any benefit from amendments to the National Accountability Ordinance.,Pakistan,17-1-2020,all
Govt ready to address grievances of disgruntled allies,Govt team headed by Pervez Khattak holds meetings with leaders of the GDA and BNP-M.,Pakistan,17-1-2020,all
Avalanche in AJK pushes death toll to 77,AJK chief secretary vows that the govt will do whatever it can to mitigate the suffering of the affected population.,Pakistan,17-1-2020,all
PM seeks proposal for reducing prices of food items,Convenes a meeting of relevant ministries on January 18.,Pakistan,17-1-2020,all
Unutilised water flow into sea causes $29bn yearly loss to economy: Irsa,Coming generations will die of hunger if dams not built Senate panel warned.,Pakistan,17-1-2020,all
Trump’s impeachment trial opens,Opening statements in the trial only the third in US history are expected on Tuesday.,Newspaper,17-1-2020,all
Parliament backs Putin’s pick for PM after ‘January Revolution’,The State Duma the lower house of parliament gives its backing to Mikhail Mishu­stin.,Newspaper,17-1-2020,all
SC moved to overturn Musharraf’s conviction,Former military ruler seeks right to be heard by the apex court.,Pakistan,17-1-2020,all
Chiefs of MI ISPR changed in shuffle,Maj Gen Azhar Waqas has been appointed DG MI and Maj Gen Babar Iftikhar appointed as DG ISPR.,Newspaper,17-1-2020,all
Delhi’s bellicosity to endanger peace warns govt,PM Imran chairs meeting on the situation in occupied Kashmir a day after the UNSC holds closed-door discussions.,Newspaper,17-1-2020,all
IGP chairs law and order meeting as Sindh Centre tussle over replacement,Meeting comes after federal govt told Sindh authorities that the IGP cannot be unilaterally repatriated or transferred.,Pakistan,18-1-2020,all
PM Imran hails Kuchlak resident for rescuing scores of stranded people in Balochistan,"In a tweet the PM says Suleman Khan ""showed great courage and selflessness to help people stranded in the snow"".",Pakistan,18-1-2020,all
Bangladesh call up uncapped Mahmud for Pakistan T20 tour amid safety debate,Visiting team to play the three-match series in Lahore from January 24-27.,Sport,18-1-2020,all
Emirati travel vlogger Khalid Al Ameri is now a big fan of Pakistan,"""One of the greatest lessons I have learned from this trip is don't always believe what the media tells you"" he wrote.",Pakistan,18-1-2020,all
Musk's SpaceX to simulate rocket failure in final astronaut capsule test,"""I will tell you tomorrow will be an exciting day"" says Nasa's commercial crew program manager Kathy Lueders.",Tech,18-1-2020,all
Centre says Imam to remain IGP till it decides on Sindh govt request for his removal,Federal government says in case it decides to transfer IGP Imam a temporary police chief will also be nominated by it.,Pakistan,18-1-2020,all
Bangladesh's Mushfiqur Rahim refuses to visit Pakistan due to family's concerns over security,"""My family is worried and they don't want me to go"" says Bangladesh batsman.",Sport,18-1-2020,all
As she leaves toxic ties behind Meghan Markle becomes patron saint of brown girls everywhere,Can the couple truly live outside of the shadow of what seems like the world’s most dominating controlling susral?,Pakistan,20-1-2020,all
Osaka vows to block out negatives after 'toughest year',"""I've been training my whole life for this (tennis). I shouldn't let outside noise dictate how I'm feeling"" she says.",Sport,18-1-2020,all
2019 – A 'year of miseries' for hockey,"The nation is paying for what Khokhar and Shahbaz have collectively sowed despite ""enormous funding"".",Sport,18-1-2020,all
'Moth to a flame': Pakistan names a sun-like star and its exoplanet,180 light-years away from us an exoplanet called 'Perwana' orbits around 'Shama' its star.,Pakistan,18-1-2020,all
Who is in charge?,We’ve been reduced to a country that has to rely on handouts.,Pakistan,18-1-2020,all
Fawad Chaudhry blames Buzdar for PTI’s falling reputation,Chaudhry writes a letter to the premier raising questions about Buzdar's performance.,Pakistan,18-1-2020,all
Analysis: The Sharifs' rehab journey is discomforting for opponents,This marks the start of a new phase in the life of Mian Sahib or his party or both of them.,Pakistan,18-1-2020,all
India level series despite Smith’s defiance,India may face a top order crisis in Sunday’s decider in Bengaluru after Dhawan and Rohit left the field with injuries.,Newspaper,18-1-2020,all
England in driving seat at Port Elizabeth,England surge to 499-9 declared on the second day of the third Test.,Newspaper,18-1-2020,all
Bismah leads from the front to help Challengers seal T20 title,Bismah puts on 61 for the third wicket with the veteran Nida Dar.,Newspaper,18-1-2020,all
Book review: Fantastically Great Women Who Changed the World,Fantastically Great Women Who Chan­ged the World is a non-fiction children’s picture book...,Newspaper,18-1-2020,all
Website review: The 25 Biggest Turning Points in Earth’s History,The history of earth concerns the development of planet Earth from its formation to the present.,Newspaper,18-1-2020,all
Art Corner,Published in Dawn Young World January 18th 2020,Newspaper,18-1-2020,all
Story Time: The hungry wolf,In a deep dark forest that had more than a million trees and animals...,Newspaper,18-1-2020,all
Story Time: My galactic adventure,It was a blazing hot day. I sat in the lush green grass wondering what to do.,Newspaper,18-1-2020,all
Environment: Climate change is real,A 15-year-old urges for action that will save the environment and slow down climate change,Newspaper,18-1-2020,all
The weekly weird,Thai shoppers get creative after plastic bag ban,Newspaper,18-1-2020,all
Spotlight,Selena Gomez releases new album,Newspaper,18-1-2020,all
Did you know? facts! Koalas,Are they bears?,Newspaper,18-1-2020,all
Story Time: Alice and the mystery wand,Once upon a time in a little cottage there lived a girl named Alice.,Newspaper,18-1-2020,all
Poet's Corner,Published in Dawn Young World January 18th 2020,Newspaper,18-1-2020,all
Mailbox,Programming myths busted,Newspaper,18-1-2020,all
Mastering teamwork at school,Teamwork is a combined effort on part of group members to achieve a common goal. Teams are driven by a purpose have...,Newspaper,18-1-2020,all
Bright side of the moon,Today it seems the state strategy is on the same page as state belief.,Pakistan,18-1-2020,all
Major reshuffle in KP health department,DG among 28 senior officers transferred.,Pakistan,18-1-2020,all
Peshawar nanbais announce strike over govt’s refusal to increase roti price,Peshawar DC offers flour supply at a subsidised rate.,Pakistan,18-1-2020,all
Another Langar at Pims to serve 1000 people every day,Ehsaas Saylani Langars will be opened in Peshawar Swat Multan Lahore and Umerkot in the next two months.,Pakistan,18-1-2020,all
Arrest warrants issued for anchorperson Mubashir Luqman,Arrest warrants issued after Mubashir Luqman remained absent in three consecutive court hearings.,Pakistan,18-1-2020,all
Successive govts made 43 changes to capital's master plan without experts’ input,Documents show first amendment to the master plan was made in 1964 and the last in 2019.,Pakistan,18-1-2020,all
Shahbaz allowed permanent exemption in two cases,Presiding judge Amjad Nazir Chaudhry announces the verdict reserved in the last hearing.,Pakistan,18-1-2020,all
Punjab govt penalises millers food officials amid looming flour crisis,Tandoor owners warn of increase in roti naan prices.,Pakistan,18-1-2020,all
Young man dies in Korangi factory fire,The exact cause of the fire is not immediately known.,Pakistan,18-1-2020,all
Khalid Maqbool’s resignation the result of power struggle within MQM: Kamal,Asks the PTI govt not to worry about MQM's resignation as it will not quit the federal govt.,Pakistan,18-1-2020,all
Sindh govt centre differ over names for new police chief,The provincial govt has drastically cut the police budget after incumbent IGP refused to toe the line.,Pakistan,18-1-2020,all
Dershowitz Starr join Trump’s defence team in impeachment trial,The administration has yet to unveil the full team.,Newspaper,18-1-2020,all
No automatic deportation for EU nationals after Brexit,Britain is set to leave the EU on Jan 31.,Newspaper,18-1-2020,all
Thousands turn up at New Delhi protest against citizenship law,"""We will continue [to] protest against the law till it is repealed"" says Chandrashekhar Azad.",Newspaper,18-1-2020,all
Bangladesh to house 100000 Rohingya in once-submerged island,Bhasan Char is ready for habitation.,Newspaper,18-1-2020,all
UK blacklists entire Hezbollah movement,The ministry previously only targeted the organisation’s military wing but has now listed the whole group.,Newspaper,18-1-2020,all
France deploys radar system in Saudi Arabia to ‘reassure’ Riyadh,Macron says the Jaguar Task Force has been deployed.,Newspaper,18-1-2020,all
SoftBank offering to invest $40bn in new Indonesian capital,A spokeswoman for SoftBank says the group had not suggested specific numbers.,Newspaper,18-1-2020,all
Stocks add 103 points in unison with global trend,The KSE-100 index manages to close with gains of 102.67 points (0.24 per cent) at 43167.76.,Newspaper,18-1-2020,all
Textile exports increase 4pc,The July-December figures shows growth in textile and clothing exports emanated from the value-added sector.,Newspaper,18-1-2020,all
Indonesia releases no kinno import quota for Pakistan,Usually the quota for import of kinno is released in January every year.,Newspaper,18-1-2020,all
Power firms seek Re1 hike in fuel adjustment for November,Higher electricity rates on approval by the regulator will be recovered from consumers in the upcoming billing month.,Newspaper,18-1-2020,all
Big industry output shrinks 4.61pc for eighth month,Between July and November the big industry output declines 5.93pc on a yearly basis.,Newspaper,18-1-2020,all
SC deplores inaction of NAB Punjab govt in public companies case,Despite earlier court orders reports about several public companies headed by bureaucrats have not been furnished.,Pakistan,18-1-2020,all
AJK PM flies to Neelum as opposition threatens protest,The AJK premier assures the affected people in Surgan area of all-out support from the government.,Pakistan,18-1-2020,all
Parliamentary panel finds Sindh as hub of forced conversions,PTI lawmaker says his bill on protection of religious minorities pending in NA.,Pakistan,18-1-2020,all
Afghan Taliban see deal with US by end of month,Agree to reduce operations to facilitate withdrawal of forces from Afghanistan.,Newspaper,18-1-2020,all
Foreign investment in treasury bills reaches record $2.2bn,The latest T-bills auction held on Jan 15 yielded $537.9 million — the highest amount for a single auction.,Newspaper,18-1-2020,all
Clinical India outplay Australia to clinch ODI series,Sharma made 119 and put on a key 137-run second-wicket stand with skipper Kohli who made 89.,Sport,19-1-2020,all
Year’s first polio case reported in KP’s Lakki Marwat,The one-year-old victim was reportedly vaccinated once but test results turned up positive for Wild Polio Virus 1.,Pakistan,19-1-2020,all
2 killed as car plunges into sea in Karachi,Danial Aziz and Muhammad Iftikhar were trapped inside the vehicle and died on the way to the hospital.,Pakistan,19-1-2020,all
How women have been stereotyped in Pakistani ads for the last 70 years,The Uks Resource Centre’s Diary 2020 has compiled all Pakistani advertisements to show how things were and what changed.,Pakistan,19-1-2020,all
Faysal Quraishi welcomes baby boy,Meet little Farmaan Quraishi also know as FQ!,Pakistan,19-1-2020,all
FICTION: BETWEEN TRAGEDY AND COMEDY LIES GENIUS,A dazzling collection by one of the best short story writers of our times combines the absurdity of a Coen brothers...,Newspaper,19-1-2020,all
NON-FICTION: WHY  CHINESE HISTORY MATTERS TO THE WORLD,A translation of essays by one of the foremost Chinese writers in early 20th century adds a textured understanding to...,Newspaper,19-1-2020,all
NON-FICTION: RAJ AGAINST MILITARY STATES,Ilhan Niaz’s latest book on the background dynamics of the British Raj provides valuable insights into today’s...,Newspaper,19-1-2020,all
COLUMN: BETWEEN BELIEVERS AND INFIDELS,All characters are so palpable and identifiable in the context of Pakistan’s political history and sociology that...,Newspaper,19-1-2020,all
BOOKS IN BRIEF,The language spoken in Baltistan is said to be directly descended from Old Tibetan which was used throughout the,Newspaper,19-1-2020,all
The unsung (super) hero,In Kazakhstan Butt was the only one from Pakistan to compete against 22 nations.,Sport,19-1-2020,all
Tech Talk: An ‘almost’ exit and some scale-up at KTown Rooms,Limiting the company to just an aggregation and booking platform would be wrong.,Pakistan,19-1-2020,all
Sinopec to review $16bn US gas deal with Cheniere,Sinopec and Cheniere had been expected to sign the deal once a trade truce was reached between Beijing and Washington.,Newspaper,19-1-2020,all
